deathtype,gene,description,gene_id,gene_biotype,pmid,comment
Pyroptosis,CHMP3,charged multivesicular body protein 3,ENSG00000115561.16,protein_coding,36188246,CHMP3 was found to be a gene related to Pyroptosis. This gene was found to be useful in constructing a prognostic model for multiple myeloma.
Pyroptosis,DPP9,dipeptidyl peptidase 9,ENSG00000142002.19,protein_coding,34656686,The inhibitors of DPP9 can induce pyroptosis in acute myeloid leukemia cells.The pyroptosis induced by DPP8/DPP9 inhibitors is mediated by the inhibition of the regulatory activity of tyrosine hydroxylase expression through GTPCH1.
Pyroptosis,NOD2,nucleotide binding oligomerization domain containing 2,ENSG00000167207.15,protein_coding,32432055,"NOD2 is related to pyroptosis. The experiment used NOD2 inhibitors and VSIG4-siRNA as intervention methods, and found that NOD2 can negatively regulate VSIG4 and positively regulate NLRP3, while VSIG4 has a slight effect on NOD2 and down-regulates NLRP3. From these results, it can be concluded that NOD2 is a bridge molecule between VSIG4 and NLRP3."
Pyroptosis,NLRC4,NLR family CARD domain containing 4,ENSG00000091106.19,protein_coding,32295623,"In acute glaucoma, unlike NLRP3, the role of NLRP12 has been controversial. We found that NLRP12 collaborates with NLRP3 and NLRC4 to initiate pyroptosis via CASP1-dependent GSDMD cleavage and promote the maturation of IL-1¦Â."
Pyroptosis,GSDMD,gasdermin D,ENSG00000104518.11,protein_coding,27932073,"GSDMD is identified as a key substrate in pyroptosis that is cleaved by inflammatory caspases. The membrane pore-forming activity of GSDMD's gasdermin-N domain is responsible for the execution of pyroptosis, ultimately leading to cell death."
Pyroptosis,TIRAP,TIR domain containing adaptor protein,ENSG00000150455.15,protein_coding,35089323,"Pyroptosis may only be a side effect of BMF rather than its cause. Although the expression of TIRAP leads to increased Caspase-1 levels, indicating the activation of Pyroptosis, inhibiting Caspase-1 is not enough to reverse TIRAP-induced blood cell decrease. This suggests that in this model, Pyroptosis may only be an incidental phenomenon of BMF rather than its cause."
Pyroptosis,SCAF11,SR-related CTD associated factor 11,ENSG00000139218.18,protein_coding,34820376,"SCAF11 was significantly upregulated in HCC patients, and its high expression was associated with low survival rate in HCC patients. The RNA sequencing results of the researchers showed that the high expression of SCAF11 was consistent with the increased expression of genes that enhance the inflammatory response. "
Pyroptosis,NLRP6,NLR family pyrin domain containing 6,ENSG00000174885.13,protein_coding,31927506,"NLRP6 is related to pyroptosis by aggravating neuronal injury after oxygen-glucose deprivation/reperfusion (OGD/R) through activating inflammasomes and inducing cell apoptosis, which can lead to exacerbation of neuronal damage in cerebral ischemia/reperfusion injury."
Pyroptosis,AIM2,absent in melanoma 2,ENSG00000163568.16,protein_coding,33731931,"JAK2V617F mutation caused ROS-mediated oxidative DNA damage and replication stress, which activated AIM2 inflammasome and promoted the inflammatory expansion of pathological macrophages, leading to pyroptotic cell death."
Pyroptosis,CASP6,caspase 6,ENSG00000138794.10,protein_coding,32298652,"CASP6 promotes pyroptosis induced by IAV infection and CASP6 deficiency reduces the number of cell deaths during IAV infection . In addition, CASP6 also participates in the activation of other cell death pathways."
Pyroptosis,NLRP2,NLR family pyrin domain containing 2,ENSG00000022556.16,protein_coding,36199146,"NLRP2 is one of the genes associated with Pyroptosis and its high expression is related to poor prognosis. In addition, the expression level of NLRP2 is significantly positively correlated with the grading of PAAD tissue."
Pyroptosis,IRF2,interferon regulatory factor 2,ENSG00000168310.12,protein_coding,31113851,"IRF2 transcriptionally activates the expression of Gasdermin-D (GSDMD) gene, which mediates inflammatory pathologies such as septic shock. Upon activation, GSDMD forms plasma membrane pores, leading to IL-1¦Â secretion and pyroptotic cell death. IRF2 deficiency resulted in attenuated GSDMD expression, reduced IL-1¦Â secretion, and inhibited pyroptosis in macrophages, endothelial cells, and multiple tissues."
Pyroptosis,PJVK,pejvakin,ENSG00000204311.15,protein_coding,29990470,"PJVK is localized to the peroxisomal membrane and is required for oxidative stress-induced perox-isome proliferation in HepG2 cells . Cells in cochlea lacking PJVK have peroxisomal dysfunction and impaired antioxidant defenses, which contribute to susceptibilities to noise-induced oxidative stress in mice . Two proteins have been found to bind the C-terminal region of PJVK: the actin cytoskeleton regulator, Rho-associated coiled-coil containing pro-tein kinase 2 (ROCK2), and the scaffold protein, IQGAP1. ROCK2 is required to stabilize the actin cytoskeleton by modulating a wide range of substrates, such as myosin light chain (MLC) and LIM kinases . PJVK binds to the coiled-coil domain of ROCK2 and further recruits substrates of ROCK2 . IQGAP1 is known to recruit signaling components to moldulate the actin cyto-skeleton . "
Pyroptosis,CASP5,caspase 5,ENSG00000137757.11,protein_coding,32109412,"CASP5 can generate a p10 product that binds with high affinity to the GSDMD-C (inhibitory domain of gasdermin D), facilitating cleavage of GSDMD and inducing Pyroptosis through site-specific autoprocessing."
Pyroptosis,NLRP1,NLR family pyrin domain containing 1,ENSG00000091592.17,protein_coding,34719258,"NLRP1 protein is an NLR family member and controls the activation of proinflammatory IL-1¦Â and IL-18. The protein is primarily expressed in neurons and is a critical driver of activation of the cleaved caspase-1 that promotes the maturation and secretion of proinflammatory IL-1¦Â and IL-18, as well as the formation of cell pyroptosis. "
Pyroptosis,CASP9,caspase 9,ENSG00000132906.18,protein_coding,27174943,CASP9 does not seem to be directly related to Necroptosis.Injection of a CAS-9 inhibitor significantly inhibits high level CASP-1 activity in PI+/annexin V- (one of the characteristics of pyroptosis) cells . 
Pyroptosis,PLCG1,phospholipase C gamma 1,ENSG00000124181.15,protein_coding,29937272,"PLCG1 is an important step in phospholipid peroxidation-induced Gasdermin D (GSDMD)-mediated pyroptosis. PLCG1 is a crucial signaling molecule in inflammatory response, and its activation triggers the hydrolysis of membrane phospholipids and the generation of inositol 1,4,5-triphosphate. In GSDMD-mediated pyroptosis, the production of phospholipid peroxidation can activate PLCG1, leading to the N-terminal cleavage and activation of GSDMD. This process may be related to PLCG1's phosphoinositide pathway and calcium elevation."
Pyroptosis,IL18,interleukin 18,ENSG00000150782.12,protein_coding,28462526,"IL-18 is shown to induce pyroptosis through inflammasome activation. IL-18 is a cytokine that promotes IFN-¦Ã production in TH1 cells, NK cells and cytotoxic T cells, enhances the development of TH2 cells, and promotes local inflammation."
Pyroptosis,DPP8,dipeptidyl peptidase 8,ENSG00000074603.19,protein_coding,34656686,DPP8 inhibitors can induce pyroptosis in acute myeloid leukemia (AML) cells.The pyroptosis induced by DPP8/DPP9 inhibitors is mediated by the inhibition of the regulatory activity of tyrosine hydroxylase expression through GTPCH1.
